serial_number,mac_address
WGB25BE007743,E1260185E06F
WGB25BE007742,E126018720DC
WGB25BE007741,E1260187258D
WGB25BE007740,E1260187208F
WGB25BE007739,E12601872795
WGB25BE007738,E12601872418
WGB25BE007737,E12601872741
WGB25BE007736,E1260187258E
WGB25BE007735,E12601872350
WGB25BE007734,E1260187205B
WGB25BE007733,E126018723ED
WGB25BE007732,E12601872347
WGB25BE007731,E12601871F13
WGB25BE007730,E1260185E070
WGB25BE007729,E126018727D7
WGB25BE007728,E12601872796
WGB25BE007727,E1260185E292
WGB25BE007726,E1260185C84C
WGB25BE007725,E12601889730
WGB25BE007724,E12601872581
WGB25BE007723,E12601871EFD
WGB25BE007722,E12601871F29
WGB25BE007721,E12601889F3A
WGB25BE007720,E12601872326
WGB25BE007719,E12601871EEA
WGB25BE007718,E12601872063
WGB25BE007717,E12601872330
WGB25BE007716,E1260187294E
WGB25BE007715,E126018727E6
WGB25BE007714,E1260185C915
WGB25BE007713,E12601871F23
WGB25BE007712,E12601872936
WGB25BE007711,E12601872739
WGB25BE007710,E12601872085
WGB25BE007709,E1260187206A
WGB25BE007708,E126018896E8
WGB25BE007707,E1260185D94B
WGB25BE007706,E12601889DBB
WGB25BE007705,E12601872A57
WGB25BE007704,E12601871F0F
WGB25BE007703,E12601871718
WGB25BE007702,E12601871B98
WGB25BE007701,E126018718F2
WGB25BE007700,E126018710A6
WGB25BE007699,E126018722C5
WGB25BE007698,E12601872320
WGB25BE007697,E1260185C272
WGB25BE007696,E12601871FAC
WGB25BE007695,E126018720F6
WGB25BE007694,E1260185CEAE
WGB25BE007693,E12601871F19
WGB25BE007692,E1260185CBC0
WGB25BE007691,E12601889B69
WGB25BE007690,E1260185BDED
WGB25BE007689,E1260188912C
WGB25BE007688,E1260185DF02
WGB25BE007687,E12601872702
WGB25BE007686,E1260185DA46
WGB25BE007685,E1260185DDE4
WGB25BE007684,E1260185C4A0
WGB25BE007683,E1260185C4EF
WGB25BE007682,E1260185B9D6
WGB25BE007681,E12601872255
WGB25BE007680,E12601889CD5
WGB25BE007679,E1260185C742
WGB25BE007678,E1260187207F
WGB25BE007677,E1260185C72C
WGB25BE007676,E12601871D08
WGB25BE007675,E1260185AE91
WGB25BE007674,E12601871BA1
WGB25BE007673,E1260187145F
WGB25BE007672,E12601872695
WGB25BE007671,E12601871FEE
WGB25BE007670,E1260187191C
WGB25BE007669,E12601870BAE
WGB25BE007668,E12601871642
WGB25BE007667,E12601871DB4
WGB25BE007666,E12601871F1F
WGB25BE007665,E1260185AA04
WGB25BE007664,E126018709A8
WGB25BE007663,E1260185B241
WGB25BE007662,E12601871D73
WGB25BE007661,E12601871922
WGB25BE007660,E1260185CFB4
WGB25BE007659,E1260185C286
WGB25BE007658,E1260185DF03
WGB25BE007657,E1260187257B
WGB25BE007656,E12601872254
WGB25BE007655,E12601871F2A
WGB25BE007654,E126018724CD
WGB25BE007653,E12601872959
WGB25BE007652,E1260187294A
WGB25BE007651,E12601871F1A
WGB25BE007650,E12601872747
WGB25BE007649,E12601872719
WGB25BE007648,E126018726E8
WGB25BE007647,E12601872704
WGB25BE007646,E12601872594
WGB25BE007645,E126018727A1
WGB25BE007644,E12601872402
WGB25BE007743,E1260185E06F
WGB25BE007742,E126018720DC
WGB25BE007741,E1260187258D
WGB25BE007740,E1260187208F
WGB25BE007739,E12601872795
